Team,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Postseason
Baltimore Orioles,27,28.2,5.31,69,93,.426,4.89,162,162,159,3,7,1,32,1446.2,1568,860,786,210,535,42,1044,45,4,32,6332,86,4.67,1.454,9.8,1.3,3.3,6.5,1.95,1132,0
Boston Red Sox,27,30.3,4.55,90,72,.556,4.20,162,162,160,2,13,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,103,4.05,1.308,8.4,1.0,3.3,7.5,2.25,1133,0
Chicago Cubs,22,29.4,4.67,71,91,.438,4.33,162,162,158,4,5,1,40,1434.1,1439,756,690,162,580,45,1224,53,5,51,6262,90,4.11,1.408,9.0,1.0,3.6,7.7,2.11,1203,0
Chicago White Sox,22,28.5,4.36,79,83,.488,4.10,162,162,156,6,14,4,42,1460.0,1463,706,665,147,439,50,1220,44,4,55,6188,106,3.66,1.303,9.0,0.9,2.7,7.5,2.78,1102,0
Cincinnati Reds,21,27.7,4.44,79,83,.488,4.16,162,162,158,4,5,2,39,1467.2,1414,720,678,185,539,47,1112,59,13,51,6259,95,4.37,1.331,8.7,1.1,3.3,6.8,2.06,1136,0
Cleveland Indians,22,26.7,4.69,80,82,.494,4.23,162,162,160,2,4,0,38,1453.1,1482,760,683,153,463,34,1024,60,3,42,6235,93,4.06,1.338,9.2,0.9,2.9,6.3,2.21,1115,0
Colorado Rockies,29,27.7,4.78,73,89,.451,4.43,162,162,157,5,7,2,41,1447.2,1471,774,713,176,522,47,1118,48,7,65,6215,103,4.24,1.377,9.1,1.1,3.2,7.0,2.14,1098,0
Detroit Tigers,26,27.8,4.39,95,67,.586,4.04,162,162,158,4,14,2,52,1440.0,1406,711,647,149,492,34,1115,52,5,69,6108,103,3.95,1.318,8.8,0.9,3.1,7.0,2.27,1077,1
Florida Marlins,22,28.0,4.33,72,90,.444,3.95,162,162,155,7,11,4,40,1459.2,1403,702,640,149,500,72,1218,37,10,43,6200,99,3.79,1.304,8.7,0.9,3.1,7.5,2.44,1119,0
Houston Astros,23,27.2,4.91,56,106,.346,4.51,162,162,160,2,6,0,25,1435.0,1477,796,719,188,560,59,1191,53,9,39,6268,84,4.35,1.420,9.3,1.2,3.5,7.5,2.13,1167,0
Kansas City Royals,23,26.4,4.70,71,91,.438,4.44,162,162,160,2,6,0,37,1451.1,1487,762,716,163,557,42,1080,58,7,69,6280,92,4.27,1.408,9.2,1.0,3.5,6.7,1.94,1164,0
Los Angeles Angels of Anaheim,21,28.4,3.91,86,76,.531,3.57,162,162,150,12,11,6,39,1465.0,1388,633,581,142,476,34,1058,36,4,55,6124,106,3.89,1.272,8.5,0.9,2.9,6.5,2.22,1096,0
Los Angeles Dodgers,21,28.6,3.80,82,79,.509,3.54,161,161,154,7,17,2,40,1432.0,1287,612,563,132,507,48,1265,43,7,50,5997,104,3.61,1.253,8.1,0.8,3.2,8.0,2.50,1089,0
Milwaukee Brewers,22,29.3,3.94,96,66,.593,3.63,162,162,161,1,13,1,47,1441.2,1348,638,582,147,440,16,1257,33,5,70,6048,109,3.59,1.240,8.4,0.9,2.7,7.8,2.86,1085,1
Minnesota Twins,24,28.5,4.96,63,99,.389,4.58,162,162,155,7,8,3,32,1421.2,1564,804,724,161,480,37,940,54,5,47,6210,89,4.30,1.438,9.9,1.0,3.0,6.0,1.96,1141,0
New York Mets,23,30.0,4.58,77,85,.475,4.19,162,162,156,6,9,2,43,1448.0,1482,742,674,147,514,48,1126,70,7,46,6316,88,4.00,1.378,9.2,0.9,3.2,7.0,2.19,1230,0
New York Yankees,28,31.0,4.06,97,65,.599,3.73,162,162,157,5,8,3,47,1458.1,1423,657,605,152,507,43,1222,58,3,67,6216,116,3.87,1.323,8.8,0.9,3.1,7.5,2.41,1184,1
Oakland Athletics,26,27.4,4.19,74,88,.457,3.71,162,162,156,6,12,1,39,1447.2,1380,679,597,136,519,24,1160,41,3,53,6159,109,3.80,1.312,8.6,0.8,3.2,7.2,2.24,1137,0
Philadelphia Phillies,23,29.2,3.27,102,60,.630,3.02,162,162,144,18,21,7,47,1477.0,1320,529,495,120,404,41,1299,47,6,23,6069,127,3.24,1.167,8.0,0.7,2.5,7.9,3.22,1109,1
Pittsburgh Pirates,25,28.1,4.40,72,90,.444,4.04,162,162,157,5,11,3,43,1449.1,1513,712,650,152,535,65,1031,62,6,60,6317,92,4.20,1.413,9.4,0.9,3.3,6.4,1.93,1257,0
San Diego Padres,22,28.1,3.77,71,91,.438,3.42,162,162,162,0,10,0,44,1449.1,1324,611,551,125,521,56,1139,37,6,45,6065,104,3.73,1.273,8.2,0.8,3.2,7.1,2.19,1106,0
Seattle Mariners,21,26.8,4.17,67,95,.414,3.90,162,162,150,12,10,3,39,1433.0,1369,675,621,145,436,27,1088,51,6,68,6014,97,3.84,1.260,8.6,0.9,2.7,6.8,2.50,1040,0
San Francisco Giants,17,28.5,3.57,86,76,.531,3.20,162,162,159,3,12,2,52,1468.0,1260,578,522,96,559,46,1316,50,4,42,6130,109,3.33,1.239,7.7,0.6,3.4,8.1,2.35,1148,0
St. Louis Cardinals,24,30.2,4.27,90,72,.556,3.74,162,162,155,7,9,5,47,1462.0,1461,692,608,136,448,44,1098,46,3,48,6211,99,3.75,1.306,9.0,0.8,2.8,6.8,2.45,1133,1
Tampa Bay Rays,21,27.8,3.79,91,71,.562,3.58,162,162,147,15,13,5,32,1449.0,1263,614,577,161,504,38,1143,46,3,45,6010,105,4.03,1.219,7.8,1.0,3.1,7.1,2.27,1049,1
