name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Zac Gallen, Last 7 Games, 1, 1, 2.20, 7, 7, 0, 45.0, 30, 11, 11, 45, 0.91
Zac Gallen, Last 15 Games, 1, 1, 2.29, 9, 9, 0, 55.0, 37, 14, 17, 60, 0.98
Zac Gallen, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
John Gant, Last 7 Games, 0, 2, 4.50, 7, 0, 0, 6.0, 6, 3, 5, 8, 1.83
John Gant, Last 15 Games, 0, 2, 2.03, 13, 0, 0, 13.1, 7, 3, 7, 17, 1.05
John Gant, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Bryan Garcia, Last 7 Games, 0, 0, 0.00, 7, 0, 1, 5.0, 3, 0, 2, 1, 1.00
Bryan Garcia, Last 15 Games, 0, 0, 0.75, 15, 0, 1, 12.0, 8, 1, 5, 6, 1.08
Bryan Garcia, Last 30 Games, 2, 0, 1.65, 20, 0, 1, 16.1, 13, 3, 6, 7, 1.16
Deivi García, Last 7 Games, 1, 1, 3.06, 3, 3, 0, 17.2, 14, 6, 2, 18, 0.91
Deivi García, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Deivi García, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Deolis Guerra, Last 7 Games, 1, 3, 6.35, 7, 0, 0, 5.2, 9, 4, 1, 5, 1.76
Deolis Guerra, Last 15 Games, 1, 3, 8.59, 9, 0, 0, 7.1, 10, 7, 2, 8, 1.64
Deolis Guerra, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Edgar García, Last 7 Games, 0, 0, 10.80, 4, 0, 1, 3.1, 3, 4, 4, 1, 2.10
Edgar García, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Edgar García, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jarlin García, Last 7 Games, 1, 0, 0.00, 7, 0, 0, 7.0, 5, 0, 3, 7, 1.14
Jarlin García, Last 15 Games, 2, 1, 0.00, 13, 0, 0, 13.0, 7, 0, 6, 9, 1.00
Jarlin García, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Luis García, Last 7 Games, 0, 0, 5.40, 7, 1, 0, 5.0, 7, 3, 5, 9, 2.40
Luis García, Last 15 Games, 0, 1, 3.68, 9, 1, 0, 7.1, 9, 3, 5, 11, 1.91
Luis García, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rico Garcia, Last 7 Games, 0, 1, 9.00, 7, 0, 0, 6.0, 11, 6, 1, 4, 2.00
Rico Garcia, Last 15 Games, 0, 1, 6.75, 10, 0, 0, 8.0, 13, 6, 2, 5, 1.88
Rico Garcia, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rony García, Last 7 Games, 1, 0, 11.05, 7, 0, 0, 7.1, 13, 9, 5, 4, 2.45
Rony García, Last 15 Games, 1, 0, 8.62, 11, 2, 0, 15.2, 21, 15, 7, 9, 1.79
Rony García, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yimi García, Last 7 Games, 0, 0, 0.00, 6, 0, 0, 7.2, 4, 0, 3, 9, 0.91
Yimi García, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yimi García, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Amir Garrett, Last 7 Games, 1, 0, 0.00, 7, 0, 0, 6.2, 2, 0, 0, 11, 0.30
Amir Garrett, Last 15 Games, 1, 0, 1.93, 15, 0, 0, 14.0, 5, 3, 3, 21, 0.57
Amir Garrett, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kevin Gausman, Last 7 Games, 3, 2, 3.76, 7, 7, 0, 38.1, 29, 16, 11, 52, 1.04
Kevin Gausman, Last 15 Games, 3, 2, 4.05, 9, 8, 0, 46.2, 41, 21, 12, 62, 1.14
Kevin Gausman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sam Gaviglio, Last 7 Games, 0, 1, 9.00, 4, 0, 0, 3.0, 3, 3, 5, 1, 2.67
Sam Gaviglio, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sam Gaviglio, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Cory Gearrin, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 2.0, 0, 0, 2, 1, 1.00
Cory Gearrin, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Cory Gearrin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Joey Gerber, Last 7 Games, 1, 0, 0.00, 7, 0, 0, 5.2, 5, 0, 0, 3, 0.88
Joey Gerber, Last 15 Games, 1, 0, 3.27, 12, 0, 0, 11.0, 8, 4, 3, 4, 1.00
Joey Gerber, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ian Gibaut, Last 7 Games, 0, 0, 4.50, 7, 0, 0, 6.0, 2, 3, 7, 5, 1.50
Ian Gibaut, Last 15 Games, 0, 1, 6.57, 14, 0, 0, 12.1, 11, 9, 9, 14, 1.62
Ian Gibaut, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Gibson, Last 7 Games, 1, 3, 6.69, 7, 7, 0, 37.2, 43, 28, 16, 34, 1.57
Kyle Gibson, Last 15 Games, 1, 4, 5.91, 8, 8, 0, 42.2, 48, 28, 19, 38, 1.57
Kyle Gibson, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ken Giles, Last 7 Games, 0, 0, 10.80, 2, 0, 1, 1.2, 1, 2, 4, 3, 3.00
Ken Giles, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ken Giles, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sean Gilmartin, Last 7 Games, 0, 0, 8.31, 2, 0, 0, 4.1, 7, 4, 4, 5, 2.54
Sean Gilmartin, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sean Gilmartin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kevin Ginkel, Last 7 Games, 0, 1, 3.86, 7, 0, 1, 7.0, 6, 3, 5, 8, 1.57
Kevin Ginkel, Last 15 Games, 0, 2, 5.11, 15, 0, 1, 12.1, 15, 7, 9, 14, 1.95
Kevin Ginkel, Last 30 Games, 0, 2, 6.75, 19, 0, 1, 16.0, 21, 12, 13, 18, 2.13
Lucas Giolito, Last 7 Games, 4, 1, 2.60, 7, 7, 0, 45.0, 26, 13, 13, 66, 0.87
Lucas Giolito, Last 15 Games, 4, 2, 3.29, 9, 9, 0, 54.2, 36, 20, 18, 75, 0.99
Lucas Giolito, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Glasnow, Last 7 Games, 2, 1, 4.58, 7, 7, 0, 35.1, 29, 18, 16, 57, 1.27
Tyler Glasnow, Last 15 Games, 2, 1, 4.35, 8, 8, 0, 39.1, 30, 19, 18, 66, 1.22
Tyler Glasnow, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zack Godley, Last 7 Games, 0, 4, 9.49, 7, 7, 0, 24.2, 38, 26, 14, 21, 2.11
Zack Godley, Last 15 Games, 0, 4, 8.16, 8, 7, 0, 28.2, 42, 26, 14, 28, 1.95
Zack Godley, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Austin Gomber, Last 7 Games, 0, 0, 0.84, 7, 1, 0, 10.2, 5, 1, 8, 12, 1.22
Austin Gomber, Last 15 Games, 0, 0, 0.64, 9, 1, 0, 14.0, 5, 1, 9, 13, 1.00
Austin Gomber, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tony Gonsolin, Last 7 Games, 0, 0, 0.76, 5, 5, 0, 23.2, 12, 2, 5, 25, 0.72
Tony Gonsolin, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tony Gonsolin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chi Chi González, Last 7 Games, 0, 1, 8.68, 4, 2, 0, 9.1, 10, 9, 7, 10, 1.82
Chi Chi González, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chi Chi González, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Gio González, Last 7 Games, 1, 1, 4.73, 7, 4, 0, 26.2, 34, 14, 16, 28, 1.88
Gio González, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Gio González, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Marco Gonzales, Last 7 Games, 5, 1, 2.72, 7, 7, 0, 46.1, 35, 14, 3, 44, 0.82
Marco Gonzales, Last 15 Games, 5, 2, 3.02, 8, 8, 0, 50.2, 40, 17, 4, 46, 0.87
Marco Gonzales, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Victor González, Last 7 Games, 2, 0, 0.75, 7, 0, 0, 12.0, 3, 1, 2, 13, 0.42
Victor González, Last 15 Games, 2, 0, 1.38, 8, 0, 0, 13.0, 6, 2, 2, 14, 0.62
Victor González, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nick Goody, Last 7 Games, 0, 0, 8.44, 7, 0, 0, 5.1, 7, 5, 2, 7, 1.69
Nick Goody, Last 15 Games, 0, 0, 6.48, 12, 0, 1, 8.1, 9, 6, 4, 9, 1.56
Nick Goody, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Trevor Gott, Last 7 Games, 0, 1, 5.79, 7, 0, 0, 4.2, 5, 3, 3, 5, 1.71
Trevor Gott, Last 15 Games, 1, 2, 10.03, 15, 0, 4, 11.2, 13, 13, 8, 8, 1.80
Trevor Gott, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ashton Goudeau, Last 7 Games, 0, 0, 11.57, 3, 0, 0, 4.2, 11, 6, 2, 0, 2.79
Ashton Goudeau, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ashton Goudeau, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Grace, Last 7 Games, 0, 1, 54.00, 3, 0, 0, 1.0, 5, 6, 2, 2, 7.00
Matt Grace, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Grace, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brusdar Graterol, Last 7 Games, 0, 0, 2.57, 7, 0, 0, 7.0, 6, 2, 1, 1, 1.00
Brusdar Graterol, Last 15 Games, 0, 1, 2.93, 15, 0, 0, 15.1, 11, 5, 2, 8, 0.85
Brusdar Graterol, Last 30 Games, 0, 2, 3.24, 17, 0, 0, 16.2, 14, 6, 2, 8, 0.96
Jon Gray, Last 7 Games, 2, 4, 7.34, 7, 7, 0, 34.1, 42, 28, 8, 19, 1.46
Jon Gray, Last 15 Games, 2, 4, 6.69, 8, 8, 0, 39.0, 45, 29, 11, 22, 1.44
Jon Gray, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sonny Gray, Last 7 Games, 4, 2, 3.47, 7, 7, 0, 36.1, 29, 14, 16, 47, 1.24
Sonny Gray, Last 15 Games, 5, 2, 3.19, 8, 8, 0, 42.1, 32, 15, 18, 56, 1.18
Sonny Gray, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chad Green, Last 7 Games, 1, 2, 11.37, 7, 0, 1, 6.1, 8, 8, 3, 8, 1.74
Chad Green, Last 15 Games, 2, 2, 4.76, 15, 0, 1, 17.0, 10, 9, 6, 23, 0.94
Chad Green, Last 30 Games, 3, 2, 4.26, 16, 0, 1, 19.0, 10, 9, 7, 25, 0.89
Shane Greene, Last 7 Games, 0, 0, 1.17, 7, 0, 0, 7.2, 6, 1, 2, 6, 1.04
Shane Greene, Last 15 Games, 0, 0, 1.13, 15, 0, 0, 16.0, 10, 2, 5, 14, 0.94
Shane Greene, Last 30 Games, 0, 0, 0.90, 19, 0, 0, 20.0, 12, 2, 5, 16, 0.85
Zack Greinke, Last 7 Games, 3, 1, 2.91, 7, 7, 0, 43.1, 38, 14, 6, 44, 1.02
Zack Greinke, Last 15 Games, 3, 1, 3.27, 9, 9, 0, 52.1, 45, 19, 8, 50, 1.01
Zack Greinke, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Foster Griffin, Last 7 Games, 1, 0, 0.00, 1, 0, 0, 1.2, 0, 0, 0, 1, 0.00
Foster Griffin, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Foster Griffin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Justin Grimm, Last 7 Games, 0, 0, 17.36, 4, 0, 0, 4.2, 9, 9, 4, 6, 2.79
Justin Grimm, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Justin Grimm, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zac Grotz, Last 7 Games, 0, 0, 14.73, 5, 0, 0, 7.1, 11, 12, 11, 4, 3.00
Zac Grotz, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zac Grotz, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Robert Gsellman, Last 7 Games, 0, 0, 9.64, 6, 4, 0, 14.0, 22, 15, 8, 9, 2.14
Robert Gsellman, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Robert Gsellman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Javy Guerra, Last 7 Games, 1, 0, 12.15, 7, 0, 0, 6.2, 13, 9, 3, 5, 2.40
Javy Guerra, Last 15 Games, 1, 0, 10.13, 14, 0, 0, 13.1, 25, 15, 5, 12, 2.25
Javy Guerra, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Junior Guerra, Last 7 Games, 0, 1, 0.00, 7, 0, 0, 7.1, 5, 0, 4, 7, 1.23
Junior Guerra, Last 15 Games, 1, 1, 3.14, 15, 0, 0, 14.1, 12, 5, 11, 13, 1.60
Junior Guerra, Last 30 Games, 1, 1, 2.37, 20, 0, 0, 19.0, 12, 5, 13, 16, 1.32
Taylor Guilbeau, Last 7 Games, 0, 0, 0.00, 7, 0, 0, 6.2, 6, 0, 5, 3, 1.65
Taylor Guilbeau, Last 15 Games, 0, 0, 1.17, 8, 0, 0, 7.2, 8, 1, 6, 3, 1.83
Taylor Guilbeau, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jorge Guzman, Last 7 Games, 0, 0, 18.00, 1, 0, 0, 1.0, 2, 2, 1, 0, 3.00
Jorge Guzman, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jorge Guzman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Josh Hader, Last 7 Games, 0, 1, 5.06, 7, 0, 4, 5.1, 2, 3, 6, 8, 1.50
Josh Hader, Last 15 Games, 0, 1, 2.31, 13, 0, 9, 11.2, 2, 3, 10, 18, 1.03
Josh Hader, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jesse Hahn, Last 7 Games, 0, 0, 1.93, 7, 0, 1, 4.2, 4, 1, 4, 4, 1.71
Jesse Hahn, Last 15 Games, 0, 0, 1.04, 10, 0, 1, 8.2, 4, 1, 6, 8, 1.15
Jesse Hahn, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
David Hale, Last 7 Games, 0, 0, 6.75, 2, 0, 0, 4.0, 6, 3, 0, 1, 1.50
David Hale, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
David Hale, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Hall, Last 7 Games, 0, 2, 19.89, 3, 1, 0, 6.1, 11, 14, 8, 7, 3.00
Matt Hall, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Hall, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ian Hamilton, Last 7 Games, 0, 0, 4.50, 4, 0, 0, 4.0, 4, 2, 5, 4, 2.25
Ian Hamilton, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ian Hamilton, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brad Hand, Last 7 Games, 1, 0, 0.00, 7, 0, 5, 7.0, 3, 0, 0, 7, 0.43
Brad Hand, Last 15 Games, 1, 1, 2.63, 15, 0, 11, 13.2, 9, 4, 4, 17, 0.95
Brad Hand, Last 30 Games, 1, 1, 2.45, 16, 0, 12, 14.2, 9, 4, 4, 19, 0.89
J.A. Happ, Last 7 Games, 1, 2, 4.31, 6, 6, 0, 31.1, 25, 15, 13, 25, 1.21
J.A. Happ, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
J.A. Happ, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryne Harper, Last 7 Games, 0, 0, 2.84, 7, 0, 0, 6.1, 6, 2, 0, 7, 0.95
Ryne Harper, Last 15 Games, 1, 0, 6.91, 15, 0, 0, 14.1, 18, 11, 4, 15, 1.53
Ryne Harper, Last 30 Games, 1, 0, 6.06, 16, 0, 0, 16.1, 19, 11, 4, 19, 1.41
Will Harris, Last 7 Games, 0, 1, 1.50, 7, 0, 0, 6.0, 7, 1, 3, 10, 1.67
Will Harris, Last 15 Games, 0, 1, 2.61, 12, 0, 0, 10.1, 14, 3, 7, 14, 2.03
Will Harris, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Hart, Last 7 Games, 0, 1, 15.55, 4, 3, 0, 11.0, 24, 19, 10, 13, 3.09
Kyle Hart, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kyle Hart, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Geoff Hartlieb, Last 7 Games, 0, 0, 1.00, 7, 0, 0, 9.0, 4, 1, 4, 8, 0.89
Geoff Hartlieb, Last 15 Games, 1, 0, 1.96, 15, 0, 0, 18.1, 13, 4, 11, 16, 1.31
Geoff Hartlieb, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Hunter Harvey, Last 7 Games, 0, 1, 3.60, 5, 0, 0, 5.0, 5, 2, 2, 3, 1.40
Hunter Harvey, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Hunter Harvey, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Joe Harvey, Last 7 Games, 0, 0, 0.00, 4, 0, 0, 3.1, 3, 0, 0, 2, 0.90
Joe Harvey, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Joe Harvey, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Harvey, Last 7 Games, 0, 3, 11.70, 5, 4, 0, 10.0, 22, 13, 5, 8, 2.70
Matt Harvey, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Matt Harvey, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Thomas Hatch, Last 7 Games, 3, 0, 0.00, 7, 0, 0, 10.1, 2, 0, 5, 9, 0.68
Thomas Hatch, Last 15 Games, 3, 1, 1.33, 12, 1, 0, 20.1, 7, 3, 10, 21, 0.84
Thomas Hatch, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Andrew Heaney, Last 7 Games, 3, 3, 4.35, 7, 7, 0, 39.1, 34, 19, 15, 39, 1.25
Andrew Heaney, Last 15 Games, 3, 3, 4.04, 9, 9, 0, 49.0, 41, 22, 16, 51, 1.16
Andrew Heaney, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Taylor Hearn, Last 7 Games, 0, 0, 4.50, 7, 0, 0, 8.0, 8, 4, 6, 12, 1.75
Taylor Hearn, Last 15 Games, 0, 0, 5.40, 9, 0, 0, 10.0, 9, 6, 8, 13, 1.70
Taylor Hearn, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ben Heller, Last 7 Games, 0, 0, 3.00, 6, 0, 0, 6.0, 5, 2, 2, 6, 1.17
Ben Heller, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ben Heller, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Helsley, Last 7 Games, 1, 0, 6.00, 5, 0, 0, 6.0, 5, 4, 2, 3, 1.17
Ryan Helsley, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Helsley, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Heath Hembree, Last 7 Games, 0, 0, 9.53, 7, 0, 0, 5.2, 9, 6, 4, 8, 2.29
Heath Hembree, Last 15 Games, 1, 0, 7.04, 8, 0, 0, 7.2, 9, 6, 3, 8, 1.57
Heath Hembree, Last 30 Games, 2, 0, 5.59, 11, 0, 0, 9.2, 9, 6, 3, 10, 1.24
Kyle Hendricks, Last 7 Games, 4, 3, 3.22, 7, 7, 0, 44.2, 47, 16, 4, 32, 1.14
Kyle Hendricks, Last 15 Games, 5, 4, 3.41, 9, 9, 0, 58.0, 57, 22, 6, 44, 1.09
Kyle Hendricks, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Liam Hendriks, Last 7 Games, 2, 0, 1.29, 7, 0, 3, 7.0, 4, 1, 0, 11, 0.57
Liam Hendriks, Last 15 Games, 3, 0, 1.20, 15, 0, 8, 15.0, 8, 2, 1, 22, 0.60
Liam Hendriks, Last 30 Games, 3, 0, 1.40, 19, 0, 11, 19.1, 11, 3, 3, 29, 0.72
Jimmy Herget, Last 7 Games, 0, 0, 0.00, 7, 0, 0, 7.1, 6, 0, 3, 5, 1.23
Jimmy Herget, Last 15 Games, 0, 0, 3.55, 13, 0, 0, 12.2, 11, 5, 10, 9, 1.66
Jimmy Herget, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carlos Hernández, Last 7 Games, 0, 0, 1.42, 2, 0, 0, 6.1, 5, 1, 2, 4, 1.11
Carlos Hernández, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Carlos Hernández, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Darwinzon Hernandez, Last 7 Games, 1, 0, 0.00, 3, 0, 0, 4.2, 3, 0, 3, 7, 1.29
Darwinzon Hernandez, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Darwinzon Hernandez, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Elieser Hernandez, Last 7 Games, 1, 0, 3.16, 6, 6, 0, 25.2, 21, 9, 5, 34, 1.01
Elieser Hernandez, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Elieser Hernandez, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jonathan Hernández, Last 7 Games, 2, 1, 4.50, 7, 0, 0, 8.0, 11, 4, 1, 6, 1.50
Jonathan Hernández, Last 15 Games, 3, 1, 2.65, 15, 0, 0, 17.0, 14, 5, 2, 15, 0.94
Jonathan Hernández, Last 30 Games, 5, 1, 2.66, 20, 0, 0, 23.2, 18, 7, 5, 25, 0.97
Kelvin Herrera, Last 7 Games, 0, 0, 15.43, 2, 0, 0, 2.1, 3, 4, 1, 3, 1.71
Kelvin Herrera, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kelvin Herrera, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
David Hess, Last 7 Games, 0, 0, 6.43, 3, 0, 0, 7.0, 10, 5, 2, 1, 1.71
David Hess, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
David Hess, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Codi Heuer, Last 7 Games, 1, 0, 1.23, 7, 0, 0, 7.1, 1, 1, 3, 6, 0.55
Codi Heuer, Last 15 Games, 2, 0, 2.30, 14, 0, 1, 15.2, 7, 4, 5, 15, 0.77
Codi Heuer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Cam Hill, Last 7 Games, 1, 0, 5.87, 7, 0, 0, 7.2, 4, 5, 2, 4, 0.78
Cam Hill, Last 15 Games, 1, 0, 3.95, 13, 0, 1, 13.2, 6, 6, 3, 11, 0.66
Cam Hill, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rich Hill, Last 7 Games, 1, 1, 3.86, 5, 5, 0, 21.0, 19, 9, 10, 15, 1.38
Rich Hill, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rich Hill, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tim Hill, Last 7 Games, 1, 0, 0.00, 7, 0, 0, 5.2, 1, 0, 1, 4, 0.35
Tim Hill, Last 15 Games, 2, 0, 3.97, 15, 0, 0, 11.1, 9, 5, 3, 13, 1.06
Tim Hill, Last 30 Games, 2, 0, 3.86, 16, 0, 0, 11.2, 9, 5, 3, 14, 1.03
Yoshihisa Hirano, Last 7 Games, 0, 0, 4.50, 6, 0, 1, 6.0, 7, 3, 4, 6, 1.83
Yoshihisa Hirano, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yoshihisa Hirano, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jeff Hoffman, Last 7 Games, 0, 1, 22.50, 7, 0, 1, 6.0, 17, 15, 4, 6, 3.50
Jeff Hoffman, Last 15 Games, 2, 1, 9.19, 12, 0, 1, 15.2, 20, 16, 6, 15, 1.66
Jeff Hoffman, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jonathan Holder, Last 7 Games, 2, 0, 3.00, 7, 0, 0, 9.0, 8, 3, 5, 8, 1.44
Jonathan Holder, Last 15 Games, 2, 0, 2.25, 13, 0, 0, 16.0, 15, 4, 8, 14, 1.44
Jonathan Holder, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Derek Holland, Last 7 Games, 1, 2, 7.89, 7, 4, 0, 29.2, 34, 26, 12, 34, 1.55
Derek Holland, Last 15 Games, 1, 2, 7.13, 8, 5, 0, 35.1, 36, 28, 15, 39, 1.44
Derek Holland, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Greg Holland, Last 7 Games, 1, 0, 0.00, 7, 0, 2, 7.1, 4, 0, 1, 12, 0.68
Greg Holland, Last 15 Games, 1, 0, 2.30, 15, 0, 2, 15.2, 12, 4, 3, 18, 0.96
Greg Holland, Last 30 Games, 3, 0, 2.31, 23, 0, 3, 23.1, 18, 6, 7, 25, 1.07
Jordan Holloway, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 0.1, 2, 0, 1, 0, 9.00
Jordan Holloway, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jordan Holloway, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Clay Holmes, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 1.1, 2, 0, 0, 1, 1.50
Clay Holmes, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Clay Holmes, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Adrian Houser, Last 7 Games, 1, 4, 5.97, 7, 7, 0, 37.2, 47, 25, 11, 28, 1.54
Adrian Houser, Last 15 Games, 1, 4, 5.48, 8, 8, 0, 42.2, 48, 26, 14, 32, 1.45
Adrian Houser, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sam Howard, Last 7 Games, 1, 0, 0.00, 7, 0, 0, 6.2, 3, 0, 4, 6, 1.05
Sam Howard, Last 15 Games, 2, 1, 2.30, 15, 0, 0, 15.2, 10, 4, 7, 19, 1.09
