name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Homer Bailey, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Homer Bailey, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Anthony Banda, Last 7 Games, 1, 0, 10.29, 4, 0, 1, 7.0, 10, 8, 5, 4, 2.14
Anthony Banda, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Anthony Banda, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Daniel Bard, Last 7 Games, 1, 1, 3.00, 7, 0, 5, 6.0, 4, 2, 4, 9, 1.33
Daniel Bard, Last 15 Games, 1, 2, 3.38, 15, 0, 6, 13.1, 11, 5, 5, 19, 1.20
Daniel Bard, Last 30 Games, 2, 2, 3.50, 18, 0, 6, 18.0, 17, 7, 5, 23, 1.22
Caleb Baragar, Last 7 Games, 3, 0, 0.00, 7, 0, 0, 6.1, 5, 0, 1, 5, 0.95
Caleb Baragar, Last 15 Games, 3, 1, 5.27, 15, 0, 0, 13.2, 12, 8, 2, 9, 1.02
Caleb Baragar, Last 30 Games, 5, 1, 5.09, 18, 0, 0, 17.2, 15, 10, 2, 13, 0.96
Scott Barlow, Last 7 Games, 1, 0, 6.00, 7, 0, 1, 6.0, 10, 4, 2, 8, 2.00
Scott Barlow, Last 15 Games, 1, 0, 3.14, 15, 0, 2, 14.1, 12, 5, 3, 19, 1.05
Scott Barlow, Last 30 Games, 2, 1, 2.86, 23, 0, 2, 22.0, 19, 7, 7, 28, 1.18
Jacob Barnes, Last 7 Games, 0, 0, 9.95, 7, 0, 0, 6.1, 7, 7, 2, 10, 1.42
Jacob Barnes, Last 15 Games, 0, 2, 7.07, 15, 0, 0, 14.0, 16, 11, 4, 16, 1.43
Jacob Barnes, Last 30 Games, 0, 2, 6.60, 16, 0, 0, 15.0, 17, 11, 4, 18, 1.40
Matt Barnes, Last 7 Games, 0, 2, 6.00, 7, 0, 3, 6.0, 8, 4, 3, 11, 1.83
Matt Barnes, Last 15 Games, 1, 3, 5.52, 15, 0, 4, 14.2, 13, 9, 9, 21, 1.50
Matt Barnes, Last 30 Games, 1, 3, 5.40, 17, 0, 4, 16.2, 15, 10, 11, 23, 1.56
Tyler Bashlor, Last 7 Games, 0, 0, 5.87, 7, 0, 0, 7.2, 8, 5, 1, 4, 1.17
Tyler Bashlor, Last 15 Games, 0, 0, 8.64, 8, 0, 0, 8.1, 9, 8, 4, 6, 1.56
Tyler Bashlor, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Anthony Bass, Last 7 Games, 1, 2, 5.40, 7, 0, 2, 6.2, 8, 4, 2, 5, 1.50
Anthony Bass, Last 15 Games, 2, 3, 4.20, 15, 0, 3, 15.0, 13, 7, 4, 13, 1.13
Anthony Bass, Last 30 Games, 2, 3, 3.10, 20, 0, 5, 20.1, 15, 7, 5, 15, 0.98
Chris Bassitt, Last 7 Games, 3, 2, 3.43, 7, 7, 0, 39.1, 35, 15, 11, 29, 1.17
Chris Bassitt, Last 15 Games, 3, 2, 3.12, 8, 8, 0, 43.1, 40, 15, 12, 34, 1.20
Chris Bassitt, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jeremy Beasley, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 0.1, 2, 0, 0, 1, 6.00
Jeremy Beasley, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jeremy Beasley, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Trevor Bauer, Last 7 Games, 4, 3, 1.79, 7, 7, 0, 45.1, 26, 9, 12, 58, 0.84
Trevor Bauer, Last 15 Games, 4, 3, 1.74, 8, 8, 0, 51.2, 28, 10, 13, 71, 0.79
Trevor Bauer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
David Bednar, Last 7 Games, 0, 0, 7.11, 4, 0, 0, 6.1, 11, 5, 2, 5, 2.05
David Bednar, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
David Bednar, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jalen Beeks, Last 7 Games, 1, 0, 2.61, 7, 0, 1, 10.1, 14, 3, 2, 9, 1.55
Jalen Beeks, Last 15 Games, 1, 1, 3.26, 12, 0, 1, 19.1, 21, 7, 4, 26, 1.29
Jalen Beeks, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Travis Bergen, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 1.2, 1, 0, 1, 3, 1.20
Travis Bergen, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Travis Bergen, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
José Berríos, Last 7 Games, 4, 2, 3.79, 7, 7, 0, 38.0, 32, 16, 19, 48, 1.34
José Berríos, Last 15 Games, 4, 3, 4.40, 9, 9, 0, 47.0, 42, 23, 22, 55, 1.36
José Berríos, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dellin Betances, Last 7 Games, 0, 1, 4.50, 7, 0, 0, 6.0, 5, 3, 4, 5, 1.50
Dellin Betances, Last 15 Games, 0, 1, 6.10, 13, 0, 0, 10.1, 10, 7, 7, 8, 1.65
Dellin Betances, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Joe Biagini, Last 7 Games, 0, 0, 20.77, 4, 0, 0, 4.1, 10, 10, 4, 4, 3.23
Joe Biagini, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Joe Biagini, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jesse Biddle, Last 7 Games, 0, 0, 0.00, 1, 0, 0, 0.2, 1, 0, 1, 1, 3.00
Jesse Biddle, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jesse Biddle, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Shane Bieber, Last 7 Games, 5, 0, 1.65, 7, 7, 0, 43.2, 28, 8, 13, 67, 0.94
Shane Bieber, Last 15 Games, 7, 0, 1.25, 9, 9, 0, 57.2, 35, 8, 14, 94, 0.85
Shane Bieber, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brandon Bielak, Last 7 Games, 2, 2, 6.46, 7, 6, 0, 23.2, 24, 17, 15, 18, 1.65
Brandon Bielak, Last 15 Games, 3, 2, 6.00, 8, 6, 0, 27.0, 28, 18, 15, 22, 1.59
Brandon Bielak, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Richard Bleier, Last 7 Games, 1, 1, 1.59, 7, 0, 0, 5.2, 4, 1, 0, 3, 0.71
Richard Bleier, Last 15 Games, 1, 1, 3.24, 12, 0, 0, 8.1, 8, 3, 1, 4, 1.08
Richard Bleier, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ronald Bolaños, Last 7 Games, 0, 2, 12.27, 2, 2, 0, 3.2, 8, 5, 3, 2, 3.00
Ronald Bolaños, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ronald Bolaños, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Borucki, Last 7 Games, 0, 1, 7.36, 7, 0, 0, 3.2, 7, 3, 4, 3, 3.00
Ryan Borucki, Last 15 Games, 1, 1, 2.38, 15, 0, 0, 11.1, 9, 3, 10, 17, 1.68
Ryan Borucki, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
James Bourque, Last 7 Games, 0, 0, 0.00, 2, 0, 0, 1.1, 1, 0, 1, 0, 1.50
James Bourque, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
James Bourque, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brad Boxberger, Last 7 Games, 0, 0, 0.00, 7, 0, 0, 5.1, 3, 0, 2, 3, 0.94
Brad Boxberger, Last 15 Games, 0, 0, 1.42, 15, 0, 0, 12.2, 10, 2, 5, 12, 1.18
Brad Boxberger, Last 30 Games, 0, 0, 1.38, 16, 0, 0, 13.0, 10, 2, 5, 12, 1.15
Matthew Boyd, Last 7 Games, 1, 5, 7.75, 7, 7, 0, 33.2, 40, 29, 13, 41, 1.57
Matthew Boyd, Last 15 Games, 1, 6, 7.63, 9, 9, 0, 43.2, 55, 37, 15, 49, 1.60
Matthew Boyd, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brad Brach, Last 7 Games, 1, 0, 1.13, 7, 0, 0, 8.0, 2, 1, 5, 9, 0.88
Brad Brach, Last 15 Games, 1, 0, 1.50, 11, 0, 0, 12.0, 8, 2, 6, 13, 1.17
Brad Brach, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Archie Bradley, Last 7 Games, 0, 0, 0.00, 2, 0, 0, 2.2, 2, 0, 0, 2, 0.75
Archie Bradley, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Archie Bradley, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Brasier, Last 7 Games, 1, 0, 1.23, 7, 0, 0, 7.1, 4, 1, 3, 8, 0.95
Ryan Brasier, Last 15 Games, 1, 0, 3.00, 15, 1, 0, 15.0, 13, 5, 8, 17, 1.40
Ryan Brasier, Last 30 Games, 1, 0, 4.08, 18, 1, 0, 17.2, 17, 8, 9, 20, 1.47
Steven Brault, Last 7 Games, 0, 2, 4.79, 7, 6, 0, 20.2, 19, 11, 12, 19, 1.50
Steven Brault, Last 15 Games, 0, 2, 4.37, 8, 7, 0, 22.2, 20, 11, 14, 20, 1.50
Steven Brault, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ben Braymer, Last 7 Games, 0, 0, 6.75, 1, 0, 0, 1.1, 4, 1, 1, 1, 3.75
Ben Braymer, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ben Braymer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brandon Brennan, Last 7 Games, 0, 0, 6.75, 1, 0, 0, 1.1, 2, 1, 2, 0, 3.00
Brandon Brennan, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Brandon Brennan, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Colten Brewer, Last 7 Games, 0, 3, 6.41, 7, 4, 0, 19.2, 27, 14, 11, 17, 1.93
